frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,3.0,[2521.398193359375 869.7540893554688 3586.768798828125 1838.9722900390625],[2888.83447265625 1531.8896484375 3264.35009765625 1632.609375],0.7291494607925415,209무1443,0.9414966720990854
1,1.0,[601.108738684861 840.2718408133826 2046.1964905478724 1748.9742094646138],[866.392822265625 1442.0159912109375 1216.093505859375 1567.8673095703125],0.7465264797210693,48서8337,0.768027737544607
1,3.0,[2519.664147875623 868.0453149174886 3582.785886082651 1836.9302184463809],[2887.45947265625 1531.9310302734375 3262.281005859375 1630.7713623046875],0.7338841557502747,209무1443,0.5128119764647338
2,1.0,[599.6948908510358 839.7102565868543 2046.1556798563247 1749.558337003907],[861.1034545898438 1437.08935546875 1214.4061279296875 1569.41748046875],0.7528568506240845,48서8337,0.7111443101972379
2,3.0,[2518.0967480431827 866.2983443266426 3580.3862674659686 1833.6039927851075],[2877.424072265625 1525.7479248046875 3261.82763671875 1630.7449951171875],0.7326548099517822,209무1443,0.7477558707160628
3,3.0,[2516.79484803648 866.1762636889418 3578.3406886404714 1832.727134226159],[2886.7509765625 1527.5628662109375 3258.448486328125 1629.7672119140625],0.7373567223548889,209무1443,0.9743774222682839
4,1.0,[590.3370293944214 838.7181622609529 2035.2009018998747 1748.2798549500658],[852.3334350585938 1436.1190185546875 1209.2823486328125 1567.586181640625],0.753146231174469,48서8337,0.3440447121182758
4,3.0,[2513.3897877811464 865.9353625890407 3574.7218050753513 1831.295836867038],[2897.416748046875 1528.6409912109375 3257.80078125 1626.8858642578125],0.7339035868644714,209무1443,0.6766772143383682
5,1.0,[587.2843897841415 837.8837272584423 2031.8766810761215 1747.229626028222],[852.3890991210938 1436.098876953125 1203.4549560546875 1565.633544921875],0.7508702278137207,48서8337,0.7742337943948995
5,3.0,[2511.2201908805787 865.0908250067057 3571.6880628974936 1828.9070521566243],[2896.674072265625 1529.4580078125 3253.130859375 1627.17919921875],0.7345037460327148,209무1443,0.8901980358746342
6,1.0,[583.8816082404867 837.6242063417967 2026.6452223747767 1744.8795127051358],[851.9218139648438 1435.5301513671875 1200.0439453125 1562.8829345703125],0.7466316223144531,48서8337,0.9344340002442859
6,3.0,[2506.7055422120593 864.3344610529747 3567.5756522612974 1827.7398194692269],[2875.4013671875 1526.5081787109375 3250.81884765625 1625.781005859375],0.7326568365097046,209무1443,0.9303781986357855
7,3.0,[2503.977168216288 864.7300101322788 3563.5368704307593 1826.0946526424514],[2871.218994140625 1523.9403076171875 3242.20703125 1622.7117919921875],0.7294892072677612,209무1443,0.6428674676077561
8,3.0,[2501.2813902747175 863.5853502462967 3560.3768141544515 1825.9568491566886],[2855.829345703125 1524.685302734375 3241.588623046875 1622.02490234375],0.7267940640449524,209무1443,0.7817517045446989
9,1.0,[578.2552632330988 836.8878431616629 2019.2683528081939 1739.5779819749175],[842.688720703125 1431.330078125 1193.3448486328125 1562.689208984375],0.7549843192100525,48서8337,0.43918884602796
9,4.0,[2499.278705791373 861.1274284443589 3556.3346341971055 1821.909174028196],[2860.814208984375 1523.764892578125 3236.719482421875 1620.4288330078125],0.7230242490768433,209무1443,0.7876400459006048
