frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
1,1,601.108738684861 840.2718408133826 2046.1964905478724 1748.9742094646138,866.392822265625 1442.0159912109375 1216.093505859375 1567.8673095703125,0.7465264797210693,48서8337,0.768027737544607
2,1,599.6948908510358 839.7102565868543 2046.1556798563247 1749.558337003907,861.1034545898438 1437.08935546875 1214.4061279296875 1569.41748046875,0.7528568506240845,48서8337,0.7111443101972379
3,1,595.0159601227285 839.2142094239036 2040.6782908780997 1748.9190959769862,856.7184448242188 1436.6041870117188 1211.84423828125 1568.5018310546875,0,0,0
4,1,590.3370293944214 838.7181622609529 2035.2009018998747 1748.2798549500658,852.3334350585938 1436.1190185546875 1209.2823486328125 1567.586181640625,0.753146231174469,48서8337,0.3440447121182758
5,1,587.2843897841415 837.8837272584423 2031.8766810761215 1747.229626028222,852.3890991210938 1436.098876953125 1203.4549560546875 1565.633544921875,0.7508702278137207,48서8337,0.7742337943948995
6,1,583.8816082404867 837.6242063417967 2026.6452223747767 1744.8795127051358,851.9218139648438 1435.5301513671875 1200.0439453125 1562.8829345703125,0.7466316223144531,48서8337,0.9344340002442859
7,1,582.0061599046908 837.3787519484188 2024.1862658525824 1743.112335795063,848.8441162109375 1434.130126953125 1197.8109130859375 1562.818359375,0,0,0
8,1,580.1307115688948 837.1332975550408 2021.7273093303882 1741.3451588849903,845.7664184570312 1432.7301025390625 1195.577880859375 1562.7537841796875,0,0,0
9,1,578.2552632330988 836.8878431616629 2019.2683528081939 1739.5779819749175,842.688720703125 1431.330078125 1193.3448486328125 1562.689208984375,0.7549843192100525,48서8337,0.43918884602796
10,1,575.3576556180835 836.606106272005 2017.192934530877 1738.9043824055825,838.1284790039062 1429.6285400390625 1192.6341552734375 1561.670654296875,0.7537104487419128,48서8337,0.47331134554026166
11,1,572.7275773105969 836.1872097147855 2015.365555705842 1738.6629683232902,835.2877807617188 1430.0203857421875 1188.7889404296875 1560.5386962890625,0.7532214522361755,48서8337,0.3329356324069354
12,1,569.5969434030291 835.8445274394849 2013.6410091103635 1738.3443776972085,834.9922485351562 1431.8160400390625 1184.2720947265625 1557.44140625,0.7476924061775208,48서8337,0.7326788436319469
13,1,566.8266702840467 835.3515105356842 2010.8679895891685 1737.7637251491067,832.2813720703125 1430.4967854817708 1182.3432210286458 1557.4130452473958,0,0,0
14,1,564.0563971650644 834.8584936318834 2008.0949700679737 1737.1830726010046,829.5704956054688 1429.1775309244792 1180.4143473307292 1557.3846842447917,0,0,0
15,1,561.286124046082 834.3654767280827 2005.3219505467787 1736.6024200529027,826.859619140625 1427.8582763671875 1178.4854736328125 1557.3563232421875,0.7558966279029846,48서8337,0.2955963876472394
16,1,557.9771875333458 834.0216923400004 2000.5129887217176 1735.9333780472075,820.831787109375 1421.8916015625 1178.82568359375 1560.7174072265625,0.7606154084205627,48서8337,0.890831798693879
17,1,555.5987875368921 833.821979117347 1998.2759786448057 1735.5899092911216,817.3947143554688 1421.3703857421874 1176.80478515625 1561.1759765625,0,0,0
18,1,553.2203875404384 833.6222658946937 1996.0389685678936 1735.2464405350356,813.9576416015625 1420.849169921875 1174.78388671875 1561.6345458984374,0,0,0
19,1,550.8419875439847 833.4225526720402 1993.8019584909816 1734.9029717789494,810.5205688476562 1420.3279541015625 1172.76298828125 1562.093115234375,0,0,0
20,1,548.463587547531 833.2228394493868 1991.5649484140695 1734.5595030228635,807.08349609375 1419.80673828125 1170.74208984375 1562.5516845703125,0,0,0
21,1,546.0851875510773 833.0231262267334 1989.3279383371575 1734.2160342667776,803.6464233398438 1419.2855224609375 1168.72119140625 1563.01025390625,0.7645969986915588,48서8337,0.985370357729576
22,1,543.9816554497075 832.7920520542784 1989.127484493853 1734.0670714048497,803.594970703125 1421.3673909505208 1164.7235107421875 1560.9784342447917,0,0,0
23,1,541.8781233483379 832.5609778818234 1988.9270306505484 1733.9181085429218,803.5435180664062 1423.4492594401042 1160.725830078125 1558.9466145833333,0,0,0
24,1,539.7745912469682 832.3299037093684 1988.7265768072439 1733.769145680994,803.4920654296875 1425.5311279296875 1156.7281494140625 1556.914794921875,0.7572194337844849,48서8337,0.9929774349452303
25,1,536.0785620010575 831.7769677706251 1984.9608272549299 1733.2302436654845,797.6671142578125 1422.04736328125 1159.3187255859375 1559.5958251953125,0.7577574253082275,48서8337,0.6228702308759698
26,1,533.7887095054858 831.5302606040177 1982.180814867133 1732.7073539383464,796.6682739257812 1422.0750732421875 1157.2589111328125 1558.281005859375,0.7577242851257324,48서8337,0.9301102647171666
27,1,530.6816343833556 832.3138588738333 1979.3062526476665 1732.9545271279871,793.717529296875 1422.4337768554688 1153.2673950195312 1557.596923828125,0,0,0
28,1,527.5745592612253 833.0974571436489 1976.4316904282 1733.2017003176277,790.7667846679688 1422.79248046875 1149.27587890625 1556.912841796875,0.7553014755249023,48서8337,0.6300000926010492
29,1,523.4138497600297 832.8649378719814 1973.1517342303928 1732.9405775975129,788.0663757324219 1422.652587890625 1146.1399536132812 1556.6123657226562,0,0,0
30,1,519.2531402588342 832.6324186003139 1969.8717780325856 1732.6794548773983,785.365966796875 1422.5126953125 1143.0040283203125 1556.3118896484375,0.7590184211730957,48서8337,0.46359032429018787
31,1,515.6540049300291 832.0307126307412 1967.5031808018562 1732.208819712488,782.0577392578125 1420.651611328125 1141.0086669921875 1557.864990234375,0.7586627006530762,48서8337,0.6936055101411595
32,1,512.2648331989867 831.7028583141015 1965.421890478221 1731.8893607626105,775.4924926757812 1421.81396484375 1135.761962890625 1556.8070068359375,0.7590981125831604,48서8337,0.40794724542305494
33,1,508.79652400571206 831.7799113230928 1964.7447886786917 1732.0762839425818,774.7930297851562 1426.1441650390625 1131.3487548828125 1555.4525146484375,0.7532534003257751,48서8337,0.3601600542518463
34,1,505.13015372783093 832.6052160597493 1962.8406177112215 1732.1623213284192,771.0770874023438 1428.345703125 1126.6502685546875 1553.93115234375,0.7475929260253906,48서8337,0.48224599012343894
35,1,499.81565309722686 832.2892484382751 1959.8621296134033 1731.9680334845848,765.6497497558594 1425.7893676757812 1122.642822265625 1556.6614379882812,0,0,0
36,1,494.5011524666228 831.973280816801 1956.8836415155852 1731.7737456407503,760.222412109375 1423.2330322265625 1118.6353759765625 1559.3917236328125,0.7576606273651123,48서8337,0.29000518033058725
37,1,488.70802683947534 831.6268457417902 1952.9480798297118 1731.6943984347984,757.6071166992188 1422.2274169921875 1115.205810546875 1559.9190673828125,0.7584938406944275,48서8337,0.9364680405343102
38,1,484.19036218589747 832.0671182453418 1949.7387756117937 1732.4171734283398,756.2642211914062 1426.9163818359375 1107.70361328125 1556.95751953125,0.752482533454895,48서8337,0.553195881563481
39,1,479.45516447039756 832.188867332053 1946.5406925632062 1732.856920960156,751.4485168457031 1426.5868733723958 1104.802734375 1557.390401204427,0,0,0
40,1,474.7199667548977 832.310616418764 1943.3426095146187 1733.2966684919725,746.6328125 1426.2573649088542 1101.90185546875 1557.8232828776042,0,0,0
41,1,469.9847690393978 832.432365505475 1940.1445264660315 1733.736416023789,741.8171081542969 1425.9278564453125 1099.0009765625 1558.2561645507812,0,0,0
42,1,465.2495713238979 832.5541145921861 1936.946443417444 1734.1761635556052,737.0014038085938 1425.5983479817708 1096.10009765625 1558.6890462239583,0,0,0
43,1,460.51437360839805 832.6758636788973 1933.7483603688565 1734.6159110874214,732.1856994628906 1425.2688395182292 1093.19921875 1559.1219278971355,0,0,0
44,1,455.77917589289814 832.7976127656083 1930.550277320269 1735.0556586192379,727.3699951171875 1424.9393310546875 1090.29833984375 1559.5548095703125,0.7537361979484558,48서8337,0.9778440841422295
45,1,451.92253167838237 832.0502406571218 1928.1653905307119 1734.780332251827,722.8430989583334 1423.400614420573 1087.9215698242188 1560.058329264323,0,0,0
46,1,448.0658874638666 831.3028685486353 1925.7805037411547 1734.5050058844163,718.3162027994791 1421.8618977864583 1085.5447998046875 1560.5618489583333,0,0,0
47,1,444.20924324935083 830.5554964401488 1923.3956169515977 1734.2296795170055,713.789306640625 1420.3231811523438 1083.1680297851562 1561.0653686523438,0,0,0
48,1,440.35259903483507 829.8081243316624 1921.0107301620405 1733.954353149595,709.2624104817709 1418.7844645182292 1080.791259765625 1561.5688883463542,0,0,0
