frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
407,407.0,[458.3481362104744 586.0922525853214 740.9024872597952 785.2091827763529],[512.2100219726562 662.1112670898438 568.8590698242188 688.2215576171875],0.5897606611251831,04고2484,0.5897932724739082
413,407.0,[287.6999447466138 573.4352908950282 677.7593899801232 838.7676854544384],[330.28741455078125 670.3507690429688 412.1775817871094 710.3981323242188],0.6887457370758057,04고2484,0.05573509970878429
415,407.0,[206.60863998266214 566.561033764986 648.9196248999401 866.3916024789701],[245.61021423339844 676.1519775390625 331.5289306640625 721.4564819335938],0.7151145935058594,04고2484,0.22052877568298837
487,450.0,[44.81774097770841 581.9970760828335 558.6038009179845 907.5306388196173],[49.893310546875 681.0217895507812 142.1150360107422 734.2149047851562],0.5142578482627869,01주3127,0.07330812910649948
506,474.0,[79.90255675423066 620.2494407606689 580.6894639584543 895.9226357988807],[104.70872497558594 716.7067260742188 181.5779571533203 765.6162109375],0.5390411615371704,1025506,0.529257244010769
712,360.0,[828.4634627427864 616.7578648109294 1061.6340398504515 797.9981525292795],[912.498779296875 683.6460571289062 981.919921875 711.6102905273438],0.5793218612670898,48버8254,0.14447389476981334
714,360.0,[827.1869540616326 616.3854462043736 1063.9889193067038 800.2558539074731],[906.0551147460938 682.7399291992188 980.8474731445312 712.8915405273438],0.5890868902206421,78버9254,0.4094398784924395
731,360.0,[810.809983321109 617.5350044413683 1080.028471196065 828.027720674696],[897.0858764648438 694.6943359375 993.1686401367188 730.31787109375],0.6701385378837585,48버8254,0.3225838588517622
734,360.0,[807.4039665492534 617.1864179762508 1082.4502859419415 831.6664286404928],[897.0564575195312 696.6859741210938 994.8558349609375 732.7260131835938],0.683867871761322,48버8254,0.1519051062095399
745,360.0,[795.9801290027224 616.4890077451532 1090.0229532229948 844.8952905602976],[894.8974609375 702.9631958007812 990.9320678710938 738.947265625],0.6867175102233887,48버8254,0.5400516652630832
746,360.0,[795.2032854728027 616.6377767617462 1090.7414343557593 846.4576637581142],[890.0460205078125 702.677001953125 992.322509765625 740.7067260742188],0.6823200583457947,48버8254,0.25264356292301987
748,360.0,[793.4474711814516 616.4537745253083 1091.6973928644823 848.3626453047038],[891.8042602539062 704.9659423828125 992.6219482421875 740.2877807617188],0.6611334681510925,48버8254,0.9722224009978513
749,360.0,[792.2504239937862 616.672945282504 1092.283703082125 849.9079327912463],[892.1201171875 704.5485229492188 992.7999267578125 740.4813232421875],0.6710178852081299,48버8254,0.5485101458942926
749,579.0,[291.9252016149058 619.5153310389612 686.4956286518125 834.5811105802279],[347.6615295410156 710.6619873046875 420.6437072753906 745.0369262695312],0.5377552509307861,017도2273,0.4986674743968846
750,360.0,[791.4826717691084 616.8854282594762 1093.1431917496068 851.4088495024421],[891.5612182617188 705.0614013671875 993.7210693359375 741.425537109375],0.6731588244438171,48버8254,0.6742647258766877
752,360.0,[790.1802871193638 616.7936613053662 1094.4331504715865 852.9778345597751],[889.9535522460938 705.8779907226562 994.3588256835938 743.2311401367188],0.6852380037307739,48버8254,0.6533937658232312
755,579.0,[280.3510263864651 619.1430395054648 684.9478193529183 839.5694548911339],[330.21441650390625 713.1888427734375 408.5741271972656 747.756591796875],0.4930276870727539,37도2273,0.2860349537538762
756,579.0,[278.3551785741832 618.8024554189825 684.7104927529199 840.2212051398745],[329.2795104980469 712.6475830078125 406.12567138671875 747.8629760742188],0.30850550532341003,017도2273,0.27000158617122766
759,360.0,[787.2752907711125 616.5136929596217 1099.7722455445112 857.5111288022508],[889.2338256835938 707.17919921875 995.8641967773438 746.4876708984375],0.67795729637146,48버8254,0.6118823374838933
761,360.0,[785.6943944268966 616.4448638727783 1100.3850719888533 858.5167661477017],[887.5731811523438 707.783447265625 996.3385620117188 746.938720703125],0.6806674003601074,48버8254,0.860481423443788
764,360.0,[784.8884486804401 616.6381884438879 1101.9797109234032 860.2707716868988],[888.9299926757812 709.6729125976562 997.03125 748.1669311523438],0.6665002107620239,48버8254,0.858418960841766
765,360.0,[784.7740956616574 616.490324990144 1102.5234152507935 860.5603942524147],[889.4794921875 710.6998901367188 996.9144287109375 748.5620727539062],0.65495365858078,48버8254,0.32751556328183346
767,360.0,[784.2703851571798 615.9955527519413 1102.8387783437352 861.2943526216474],[889.5205078125 710.9112548828125 994.7420654296875 748.6088256835938],0.6415585875511169,48버8254,0.5643044660617597
768,360.0,[784.2982904039668 616.0638474322169 1103.280831836296 861.7248822368257],[889.6484985351562 711.1023559570312 994.4752807617188 748.6338500976562],0.6395017504692078,48버8254,0.6515058378584875
768,579.0,[264.1607608675761 619.3478652340199 682.1088833043999 843.1556866521072],[312.1018371582031 717.5762939453125 393.1690979003906 751.4932861328125],0.546454668045044,17도2273,0.8302484161905401
771,579.0,[262.6349066490336 619.8148413249312 681.982119196836 843.3980382794655],[314.619873046875 715.6519775390625 391.2697448730469 752.3399047851562],0.6254604458808899,017도2273,0.32615459918208933
