frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
712,360,828.4634627427864 616.7578648109294 1061.6340398504515 797.9981525292795,912.498779296875 683.6460571289062 981.919921875 711.6102905273438,0.5793218612670898,48버8254,0.14447389476981334
713,360,827.8252084022095 616.5716555076515 1062.8114795785777 799.1270032183763,909.2769470214844 683.1929931640625 981.3836975097656 712.2509155273438,0,0,0
714,360,827.1869540616326 616.3854462043736 1063.9889193067038 800.2558539074731,906.0551147460938 682.7399291992188 980.8474731445312 712.8915405273438,0.5890868902206421,78버9254,0.4094398784924395
715,360,826.2236028416019 616.453067277138 1064.9324223590193 801.8894931290745,905.5275124942555 683.4431295955883 981.5722476734835 713.9166187959559,0,0,0
716,360,825.260251621571 616.5206883499023 1065.8759254113345 803.5231323506758,904.9999102424173 684.1463299919577 982.2970222024356 714.941697064568,0,0,0
717,360,824.2969004015403 616.5883094226667 1066.81942846365 805.1567715722772,904.472307990579 684.8495303883273 983.0217967313879 715.9667753331802,0,0,0
718,360,823.3335491815094 616.6559304954311 1067.7629315159652 806.7904107938786,903.9447057387408 685.5527307846967 983.74657126034 716.9918536017923,0,0,0
719,360,822.3701979614787 616.7235515681956 1068.7064345682807 808.4240500154798,903.4171034869025 686.2559311810662 984.4713457892923 718.0169318704044,0,0,0
720,360,821.4068467414478 616.79117264096 1069.6499376205961 810.0576892370811,902.8895012350644 686.9591315774356 985.1961203182445 719.0420101390165,0,0,0
721,360,820.443495521417 616.8587937137244 1070.5934406729114 811.6913284586825,902.3618989832261 687.6623319738052 985.9208948471967 720.0670884076287,0,0,0
722,360,819.4801443013862 616.9264147864887 1071.5369437252268 813.3249676802839,901.8342967313879 688.3655323701746 986.6456693761489 721.0921666762408,0,0,0
723,360,818.5167930813554 616.9940358592531 1072.480446777542 814.9586069018852,901.3066944795496 689.0687327665441 987.3704439051011 722.1172449448529,0,0,0
724,360,817.5534418613246 617.0616569320175 1073.4239498298575 816.5922461234866,900.7790922277114 689.7719331629136 988.0952184340533 723.142323213465,0,0,0
725,360,816.5900906412938 617.1292780047819 1074.3674528821728 818.2258853450879,900.2514899758731 690.4751335592831 988.8199929630055 724.1674014820773,0,0,0
726,360,815.626739421263 617.1968990775463 1075.3109559344882 819.8595245666893,899.723887724035 691.1783339556525 989.5447674919577 725.1924797506894,0,0,0
727,360,814.6633882012322 617.2645201503108 1076.2544589868037 821.4931637882905,899.1962854721967 691.8815343520221 990.26954202091 726.2175580193015,0,0,0
728,360,813.7000369812014 617.3321412230752 1077.197962039119 823.1268030098919,898.6686832203585 692.5847347483915 990.9943165498621 727.2426362879136,0,0,0
729,360,812.7366857611706 617.3997622958395 1078.1414650914344 824.7604422314932,898.1410809685202 693.287935144761 991.7190910788144 728.2677145565258,0,0,0
730,360,811.7733345411398 617.4673833686039 1079.0849681437496 826.3940814530946,897.613478716682 693.9911355411305 992.4438656077665 729.2927928251379,0,0,0
