frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[826.068603515625 527.5339965820312 1285.7742919921875 859.124267578125],[1028.1129150390625 672.3460693359375 1165.718994140625 719.3069458007812],0.4982627332210541,YG60HJC,0.6694185076619729
1,1.0,[825.0056580040446 527.1267701696952 1285.6889147098705 859.8211989385175],[1027.6776123046875 672.1419677734375 1163.432373046875 718.7569580078125],0.5136263966560364,YG60HJC,0.20719702181340685
2,1.0,[823.2625388928532 526.2308255755618 1283.5876357467282 856.8684319538493],[1026.8170166015625 671.93115234375 1166.85498046875 719.5424194335938],0.5633952021598816,VG60HJC,0.3102014520981779
5,1.0,[823.7156045488686 528.1813206699114 1279.9160057194376 851.2538381500713],[1024.740966796875 671.4063720703125 1162.67724609375 719.2604370117188],0.7039896249771118,YG60HJC,0.44535186385498743
6,1.0,[823.4178981099367 528.0017603777137 1278.6340556810665 849.6121834968258],[1025.0228271484375 671.4109497070312 1162.81640625 719.1293334960938],0.6393476724624634,YG50HJC,0.1162784355658621
7,1.0,[822.2992619925267 527.6319087982667 1277.4644577421932 847.9832762533292],[1025.41845703125 671.5695190429688 1162.5106201171875 718.9185791015625],0.6070225238800049,YG60HJC,0.2140741610842716
11,1.0,[820.7537127895216 528.7279513386788 1273.1516876608694 844.0213261139793],[1021.0636596679688 671.3052978515625 1154.664306640625 717.5099487304688],0.7282509207725525,VG60HJC,0.41642986814543387
12,1.0,[820.6454445207345 528.8685789413564 1271.526795922088 843.5211639957038],[1017.4700317382812 670.614501953125 1155.0718994140625 717.3666381835938],0.7292984127998352,VG60HJC,0.25641181119944084
13,1.0,[820.9358604749939 528.4551155193008 1270.4014773753781 841.8139078911038],[1015.7886352539062 670.4765625 1155.221435546875 717.9815673828125],0.70869380235672,VG60HJC,0.3545768989305652
15,1.0,[820.8436962498744 529.2664410459712 1266.6524375237245 841.6172864116064],[1015.90869140625 669.2092895507812 1149.832763671875 714.2473754882812],0.7238144278526306,YG60HJC,0.3254492660920982
18,1.0,[820.4751916034802 528.7596008455564 1260.2634505435044 836.9001468714869],[1013.5947875976562 669.12158203125 1144.8370361328125 713.5576171875],0.6977712512016296,YG60HJC,0.22436583907065386
20,1.0,[820.0919707167411 529.3997287199109 1257.065154277732 835.88014222227],[1012.5744018554688 667.931396484375 1142.4547119140625 710.4370727539062],0.7004143595695496,YG60HJC,0.1998036845964605
22,1.0,[820.1363830690617 531.1311308282418 1253.4488743315449 838.2184387621733],[1010.3807373046875 666.8408813476562 1139.12548828125 711.0775146484375],0.7053963541984558,YG50HJC,0.3084791585856043
23,1.0,[819.9199862599157 531.2361999923806 1251.5500530824393 838.2053882626866],[1007.7186279296875 665.6121826171875 1134.2266845703125 707.468994140625],0.657577633857727,YG50HJC,0.4016553109956771
26,1.0,[819.5429327820447 533.1101618589958 1244.4212206750499 838.3640151645882],[1005.4720458984375 665.2783203125 1128.375732421875 707.2089233398438],0.6849849224090576,YG60HJC,0.23986361082506297
27,1.0,[819.1595122314382 532.9867857534458 1241.0102818553676 837.3371462259105],[1001.909912109375 662.4926147460938 1126.207763671875 705.785888671875],0.6831858158111572,YG60HJC,0.29305053196567266
28,1.0,[819.419233937183 532.8149930435915 1238.117018264696 836.0084090382585],[1001.9747314453125 662.7877197265625 1124.6085205078125 703.7546997070312],0.6316556334495544,YG60HJC,0.5314624011667493
29,1.0,[819.5591511301996 533.4001859815417 1235.1465626633617 835.353028538593],[998.4635009765625 662.8585205078125 1119.3563232421875 704.2980346679688],0.6547889113426208,YG60HJC,0.2810317830527246
30,1.0,[819.3480890483843 533.677039256567 1231.555877984007 834.452553668852],[998.0363159179688 661.8983764648438 1117.8978271484375 702.5553588867188],0.6117546558380127,VG60HJC,0.21909237155134476
39,1.0,[819.2308910075801 534.3687532903893 1197.4353015372394 800.0841864170782],[980.23974609375 655.3612060546875 1092.75439453125 692.375244140625],0.704372763633728,YG60HJC,0.24186088410224343
40,1.0,[819.2654015406017 534.8104503457921 1193.1111375834626 797.187384993284],[981.208984375 655.0708618164062 1088.84423828125 693.527587890625],0.7092494964599609,YG60HJC,0.14593790071384083
52,1.0,[820.3773824260456 540.5757520498914 1144.2555993599894 771.9197287797178],[958.1051025390625 644.8035278320312 1052.65576171875 678.4169311523438],0.6351546049118042,YG10HJC,0.2672234740770716
54,1.0,[820.1253706873126 541.8094963568498 1136.0574795138145 768.1142208426103],[949.2703857421875 640.111083984375 1044.8924560546875 673.3037109375],0.6559754014015198,YG60HJC,0.11240545058743259
124,1.0,[847.0050201112848 557.5218323530781 1044.9808821926197 706.3116193490758],[925.9487915039062 617.2416381835938 985.03564453125 643.705322265625],0.4548249840736389,RI63JUL,0.005086018488496228
209,1.0,[849.1702088848539 535.3202199446129 1095.073145901917 714.1329842125291],[950.8450927734375 609.1036987304688 1021.66552734375 635.458984375],0.44549691677093506,YC15DFE,0.03419118580274055
234,73.0,[1138.904628376217 551.9658189479794 1396.1935093767709 724.8859911185189],[1314.1962890625 648.4364013671875 1371.9473876953125 679.4456787109375],0.5983839631080627,DO63IOG,0.10540747566736265
248,1.0,[849.9890785653735 535.8135643679295 1113.2699079120687 723.4842761756865],[965.0101318359375 614.4082641601562 1038.052001953125 642.2948608398438],0.455868124961853,YC60TEC,0.002858923183798745
252,1.0,[862.784115885856 545.879870415308 1125.9290749915313 734.1110556711087],[978.5267944335938 627.0000610351562 1054.400146484375 655.3235473632812],0.5009016990661621,TC60AZC,0.03510322330738727
255,1.0,[865.4389892949783 537.7220804680283 1128.7452671454748 726.4993904158948],[978.4161987304688 616.2354736328125 1048.8487548828125 642.0357666015625],0.40666311979293823,RC60MIG,0.02082113890410851
324,1.0,[858.9051853998371 543.6296817324477 1084.57370764122 713.4722027444151],[951.0059204101562 615.4318237304688 1019.433349609375 642.3206787109375],0.5197309255599976,JO13TLS,0.0707260691599907
326,1.0,[858.3585572599989 544.2602317970052 1080.1443451964735 712.5920996926532],[949.6898803710938 611.8511352539062 1014.1708374023438 638.3952026367188],0.5515732765197754,JA20AGS,0.031631378195481535
