frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1,826.068603515625 527.5339965820312 1285.7742919921875 859.124267578125,1028.1129150390625 672.3460693359375 1165.718994140625 719.3069458007812,0.4982627332210541,YG6OHJC,0.42294297205540127
1,1,825.0056580040446 527.1267701696952 1285.6889147098705 859.8211989385175,1027.6776123046875 672.1419677734375 1163.432373046875 718.7569580078125,0.5136263966560364,YG6OHJC,0.9363326818550901
2,1,823.2625388928532 526.2308255755618 1283.5876357467282 856.8684319538493,1026.8170166015625 671.93115234375 1166.85498046875 719.5424194335938,0.5633952021598816,YG6OHJC,0.8482095247926783
3,1,824.3446901507679 525.5822572825348 1281.251151252214 850.312576293921,1024.3331298828125 672.2739868164062 1166.9697265625 719.4823608398438,0.5844656229019165,YG6OHJC,0.7718094787730324
4,1,824.224542503263 526.6956878529527 1280.5297121986373 849.5085681502164,1023.7421264648438 672.202880859375 1165.77587890625 719.2256469726562,0.6716153025627136,YG6OHJC,0.6197540059109607
5,1,823.7156045488686 528.1813206699114 1279.9160057194376 851.2538381500713,1024.740966796875 671.4063720703125 1162.67724609375 719.2604370117188,0.7039896249771118,YG6OHJC,0.46947569011046053
6,1,823.4178981099367 528.0017603777137 1278.6340556810665 849.6121834968258,1025.0228271484375 671.4109497070312 1162.81640625 719.1293334960938,0.6393476724624634,YG60HJC,0.5379710731205413
7,1,822.2992619925267 527.6319087982667 1277.4644577421932 847.9832762533292,1025.41845703125 671.5695190429688 1162.5106201171875 718.9185791015625,0.6070225238800049,YG6OHJC,0.8193051687046933
8,1,821.4239133662043 527.5333482599602 1276.1822419329476 846.727283190471,1023.9964599609375 671.7002563476562 1160.86083984375 717.0526123046875,0.6792674660682678,YG6OHJC,0.8633684594760536
9,1,821.0126092752813 527.5146598260887 1275.3672203399865 845.1599066970205,1019.7858276367188 670.8872680664062 1161.189697265625 717.0451049804688,0.731219470500946,YG6OHJC,0.539456484860751
10,1,820.8886444250466 527.9274377740621 1274.0858191773818 843.8404286022512,1020.7750854492188 670.6893920898438 1157.4969482421875 716.6263427734375,0.7225927710533142,YG6OHJC,0.832342698161621
11,1,820.7537127895216 528.7279513386788 1273.1516876608694 844.0213261139793,1021.0636596679688 671.3052978515625 1154.664306640625 717.5099487304688,0.7282509207725525,YG6OHJC,0.8118763854839864
12,1,820.6454445207345 528.8685789413564 1271.526795922088 843.5211639957038,1017.4700317382812 670.614501953125 1155.0718994140625 717.3666381835938,0.7292984127998352,YG6OHJC,0.549852318977334
13,1,820.9358604749939 528.4551155193008 1270.4014773753781 841.8139078911038,1015.7886352539062 670.4765625 1155.221435546875 717.9815673828125,0.70869380235672,YGGOHJC,0.37007415073694366
14,1,820.9066948235378 529.1096228501751 1268.632826988538 842.18608028677,1016.49755859375 669.99755859375 1152.9847412109375 716.44482421875,0.7286471724510193,YG6OHJC,0.622080525068096
15,1,820.8436962498744 529.2664410459712 1266.6524375237245 841.6172864116064,1015.90869140625 669.2092895507812 1149.832763671875 714.2473754882812,0.7238144278526306,YG6OHJC,0.6470219260986783
16,1,820.6928067355725 528.6282000942313 1264.6463640736583 839.6506658748897,1014.7256469726562 669.4071044921875 1148.5496826171875 713.219482421875,0.7120845913887024,YG6OHJC,0.8444795831580967
17,1,820.4828326033864 528.5854174982494 1262.2099219858285 838.1860188907483,1015.7908325195312 667.807861328125 1148.7685546875 713.8114624023438,0.7064535617828369,YG6OHJC,0.5378877377818114
18,1,820.4751916034802 528.7596008455564 1260.2634505435044 836.9001468714869,1013.5947875976562 669.12158203125 1144.8370361328125 713.5576171875,0.6977712512016296,YG6OHJC,0.6567394418881556
19,1,820.2835811601107 529.0796647827336 1258.6643024106183 836.3901445468784,1013.0845947265625 668.5264892578125 1143.6458740234375 711.9973449707031,0,0,0
20,1,820.0919707167411 529.3997287199109 1257.065154277732 835.88014222227,1012.5744018554688 667.931396484375 1142.4547119140625 710.4370727539062,0.7004143595695496,YG6OHJC,0.5694702370800482
