frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,3.0,[752.7378540039062 1369.003173828125 1430.6431884765625 1982.995361328125],[976.53515625 1769.27490234375 1197.1600341796875 1849.09716796875],0.6733449101448059,NA13NRU,0.5300895101986729
1,3.0,[752.6338336240426 1369.1096961408678 1430.1373454593484 1982.9133726975222],[976.3386840820312 1769.291015625 1196.8291015625 1849.0576171875],0.6735062003135681,NA13NRU,0.5300895101986729
3,3.0,[748.0339925979578 1378.1332942187073 1424.9257103227242 1996.143691467093],[956.8723754882812 1776.2044677734375 1187.8583984375 1860.162353515625],0.6917318105697632,NA13NRU,0.6915352540051024
6,3.0,[742.5248835019894 1386.9555363910674 1428.8679116342773 2011.959575448828],[959.5917358398438 1790.414794921875 1185.7847900390625 1871.800048828125],0.7170082926750183,NA13NFU,0.3825007448550367
8,3.0,[735.7389061945946 1391.2900635297487 1422.7531791948359 2020.052532292535],[954.6589965820312 1797.7056884765625 1189.2855224609375 1875.2926025390625],0.7153991460800171,NA13NRU,0.6127212426845692
9,3.0,[737.2225374190751 1396.0091302877274 1425.588256185083 2025.891095821088],[949.5172119140625 1798.8270263671875 1189.7149658203125 1884.1036376953125],0.6950041651725769,NA13NFU,0.4881849127173009
12,3.0,[727.4662857180958 1404.0828246435067 1422.433139042276 2040.9160816354397],[953.934814453125 1819.904296875 1180.8841552734375 1896.528076171875],0.6863735318183899,NA13NRU,0.4778934065640457
13,3.0,[726.2410563425217 1404.115255904524 1420.985687753746 2042.9065395826847],[954.3400268554688 1819.8900146484375 1181.031494140625 1896.5965576171875],0.6862195730209351,NA13NRU,0.5488384013864351
14,3.0,[725.718132764435 1406.711184049236 1423.0937615519517 2051.473324080479],[940.1556396484375 1822.5384521484375 1176.8646240234375 1902.1329345703125],0.6918368935585022,NA13NRU,0.6325962830747905
16,3.0,[721.5754178666912 1412.672100124882 1419.4311468235064 2056.2768768896285],[951.5980834960938 1832.361328125 1175.904052734375 1911.781494140625],0.7100307941436768,NA13NRU,0.46921198357967253
21,3.0,[700.3788596503828 1426.4658234282913 1408.3991283109117 2075.18675881544],[931.59521484375 1848.561767578125 1162.9346923828125 1932.544921875],0.6757248640060425,NA13NRU,0.5718328078231667
22,3.0,[698.8968781413503 1430.9088055881953 1408.8780857175018 2081.4986790514295],[933.8823852539062 1854.1666259765625 1156.7073974609375 1938.7060546875],0.6453746557235718,NA13NRU,0.6715029643081478
46,3.0,[652.3887437252762 1517.6813923004736 1383.174432398188 2152.4403059472056],[898.0746459960938 1955.218505859375 1137.9166259765625 2040.720703125],0.657225489616394,NA13NRU,0.521010004997962
47,3.0,[650.504820585219 1518.7810094620188 1382.519456916454 2151.2504562942063],[891.3226928710938 1957.576904296875 1129.5126953125 2046.894287109375],0.6631363034248352,NA13NRU,0.5537095919358129
48,3.0,[649.5403293942488 1521.677744279237 1381.4218986198357 2151.5221629918433],[890.1150512695312 1966.5135498046875 1127.9287109375 2051.818359375],0.6756117343902588,NA13NRU,0.8358275283502171
49,3.0,[649.2267380412634 1523.3285445364886 1380.82463142122 2151.1398755579185],[889.924072265625 1966.728271484375 1128.6007080078125 2051.785888671875],0.6753919124603271,NA13NRU,0.7060454965443506
54,3.0,[640.2163372830576 1543.9937522697178 1380.1385197307152 2152.7160886305937],[874.0215454101562 1991.1529541015625 1119.0341796875 2082.325439453125],0.6849793791770935,NA13NRU,0.6375188554975078
55,3.0,[637.9794601622068 1546.3758615402594 1380.576340763374 2151.92425872093],[873.9915161132812 1991.131103515625 1118.976318359375 2082.380859375],0.6848915815353394,NA13NRU,0.3388771451482076
56,3.0,[637.0811058087427 1550.2131233773653 1379.071028302448 2152.2146273480807],[881.9060668945312 2001.984130859375 1125.9927978515625 2085.1982421875],0.6603845953941345,NA13NRU,0.4986425752061671
58,3.0,[630.6338163116986 1558.0949760190856 1372.9127095359745 2152.5318747746023],[869.44287109375 2010.7420654296875 1110.57861328125 2100.289794921875],0.6764820218086243,NA13NRU,0.9174376668467714
59,3.0,[632.2809301567745 1562.79386592933 1373.8631551470248 2152.9989878514443],[872.132080078125 2016.89501953125 1109.977294921875 2103.423583984375],0.6903385519981384,NA13NRU,0.6124287990690012
60,3.0,[634.5991167551075 1567.0807156849849 1373.3106544842944 2153.715697880265],[870.7743530273438 2021.6444091796875 1110.7867431640625 2110.12451171875],0.7137787342071533,NA13NRU,0.7913609449076813
61,3.0,[636.0597038214331 1569.3011089388485 1372.6423702272605 2153.307436273614],[870.3572998046875 2021.589599609375 1110.797119140625 2110.15771484375],0.7136881351470947,NA13NRU,0.7385882277560857
65,3.0,[624.9772627939462 1586.7206827343882 1364.594743492942 2151.7286631837014],[863.0198364257812 2046.4716796875 1109.2340087890625 2135.318115234375],0.6501106023788452,NA13NRU,0.5852952836503831
66,3.0,[618.8624237105444 1590.5500048562546 1362.5898098950436 2151.4249108974846],[855.1575317382812 2052.7880859375 1104.77587890625 2141.4814453125],0.6670127511024475,NA13NRU,0.7316436188468002
67,3.0,[615.662312021525 1592.709658105159 1362.5321008003439 2150.5807958610444],[854.8987426757812 2052.738525390625 1104.807861328125 2141.4853515625],0.6671136021614075,NA13NRU,0.7469607756074734
69,3.0,[601.787453504845 1599.0225909778624 1358.8670019267133 2151.251408999882],[866.470458984375 2068.929443359375 1106.1595458984375 2150.8955078125],0.6781063079833984,NA13NFU,0.33895404877887686
95,6.0,[1120.6742420960384 1163.2310297248587 1710.9712805225292 1627.4509913040215],[1333.344482421875 1453.2315673828125 1493.9525146484375 1520.7308349609375],0.6592680811882019,GX15DGJ,0.13592940578967566
108,6.0,[1104.3222889082813 1184.1399518774244 1706.2707629081833 1668.448594269941],[1320.1431884765625 1486.4520263671875 1477.5382080078125 1556.8223876953125],0.6670634746551514,CX15OSJ,0.22709077000247682
109,6.0,[1103.7130704845217 1184.520084884449 1707.2495141601585 1670.057726767552],[1320.1561279296875 1486.4571533203125 1477.54736328125 1556.8216552734375],0.6673184633255005,CX15OSJ,0.22791502861927534
114,6.0,[1088.464662347257 1195.5964297910623 1707.3361913458932 1681.8634472744893],[1320.97607421875 1499.0511474609375 1471.6810302734375 1566.6265869140625],0.6883841753005981,SA15OSJ,0.05626110725843593
116,6.0,[1089.6248363659865 1200.102377573802 1711.8698073782934 1685.7861342245994],[1314.486572265625 1498.071533203125 1475.5989990234375 1567.58056640625],0.6892567873001099,GX15OCJ,0.3889447727647602
117,6.0,[1089.0457264784427 1203.0731673471043 1712.5480498224683 1687.31809828382],[1316.43505859375 1502.47314453125 1471.6392822265625 1571.759521484375],0.6909313201904297,GX15CSJ,0.2619175571535355
